adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,runtime
False,/e782pDRAlu4BG0ahd777n8zfPzZ.jpg,"['Animation', 'Fantasy', 'Drama']",555604,en,Guillermo del Toro's Pinocchio,"During the rise of fascism in Mussolini's Italy, a wooden boy brought magically to life struggles to live up to his father's expectations.",55.684,/vx1u0uwxdlhV2MUzj4VlcMB0N6m.jpg,2022-10-22,Guillermo del Toro's Pinocchio,False,8.108,2808,
False,/wqpTrmGiqMJ6onAq3zrBhfomIJl.jpg,"['Animation', 'Adventure', 'Comedy', 'Fantasy']",532067,ja,映画 この素晴らしい世界に祝福を！紅伝説,"It is not strange that the Demon Lord's forces fear the Crimson Demons, the clan from which Megumin and Yunyun originate. Even if the Demon Lord's generals attack their village, the Crimson Demons can just easily brush them off with their supreme mastery of advanced and overpowered magic.  When Yunyun receives a seemingly serious letter regarding a potential disaster coming to her hometown, she immediately informs Kazuma Satou and the rest of his party. After a series of wacky misunderstandings, it turns out to be a mere prank by her fellow demon who wants to be an author. Even so, Megumin becomes worried about her family and sets out toward the Crimson Demons' village with the gang.  There, Kazuma and the others decide to sightsee the wonders of Megumin's birthplace. However, they soon come to realize that the nonsense threat they received might have been more than just a joke.",39.193,/fv5BgcfkpWh3V6Pb1qVlXESBOdl.jpg,2019-08-30,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,False,8.107,530,
False,/aFmoJntgDPR0Jd8XD1ZfFSmcqMg.jpg,"['Drama', 'War', 'Mystery']",46738,fr,Incendies,"A mother's last wishes send twins Jeanne and Simon on a journey to Middle East in search of their tangled roots. Adapted from Wajdi Mouawad's acclaimed play, Incendies tells the powerful and moving tale of two young adults' voyage to the core of deep-rooted hatred, never-ending wars and enduring love.",62.023,/i5GsLIII66LubmOai65cWiB4kZq.jpg,2010-09-17,Incendies,False,8.105,2597,
False,/zd7mu6dJKxkVtBdXqlEQ9W3msKl.jpg,"['Drama', 'Thriller']",11878,ja,用心棒,"A nameless ronin, or samurai with no master, enters a small village in feudal Japan where two rival businessmen are struggling for control of the local gambling trade. Taking the name Sanjuro Kuwabatake, the ronin convinces both silk merchant Tazaemon and sake merchant Tokuemon to hire him as a personal bodyguard, then artfully sets in motion a full-scale gang war between the two ambitious and unscrupulous men.",29.102,/tN7kYPjRhDolpui9sc9Eq9n5b2O.jpg,1961-04-25,Yojimbo,False,8.104,1387,
False,/9ygnsnkiRp7a97KUGx9nIUjZG5P.jpg,['Drama'],705,en,All About Eve,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",33.636,/6numIZH6uR3NlJgY9m7nGH0jhs.jpg,1950-11-09,All About Eve,False,8.102,1482,
False,/7zN7m5jEyrNxFYm2EbQJAZwAG5i.jpg,['Drama'],103663,da,Jagten,"A teacher lives a lonely life, all the while struggling over his son’s custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",50.728,/jkixsXzRh28q3PCqFoWcf7unghT.jpg,2012-06-13,The Hunt,False,8.101,4050,
False,/moTOuNKnM2phZCYPF49Y1Hb7WJj.jpg,['Drama'],655,en,"Paris, Texas","A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier.",53.415,/tgw3TJTWgNUYCgL5Pa546VVVvSU.jpg,1984-07-16,"Paris, Texas",False,8.101,1761,
False,/5zTwAcnI3zCJ0mucPPnoBtkSWEV.jpg,"['Comedy', 'Romance', 'Crime']",239,en,Some Like It Hot,"Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.",69.119,/hVIKyTK13AvOGv7ICmJjK44DTzp.jpg,1959-03-19,Some Like It Hot,False,8.1,3378,
False,/12imOn96zRI2EMHOjOxm2qNY2BA.jpg,"['Science Fiction', 'Drama', 'Romance']",38,en,Eternal Sunshine of the Spotless Mind,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",100.813,/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,2004-03-19,Eternal Sunshine of the Spotless Mind,False,8.1,14574,
False,/n5A7brJCjejceZmHyujwUTVgQNC.jpg,"['Fantasy', 'Adventure']",12445,en,Harry Potter and the Deathly Hallows: Part 2,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",178.272,/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,2011-07-12,Harry Potter and the Deathly Hallows: Part 2,False,8.097,20172,
False,/3RFmTz5h2UuFWEV4oH00XICBR9y.jpg,"['Drama', 'Thriller', 'Crime']",146233,en,Prisoners,"Keller Dover is facing every parent’s worst nightmare. His six-year-old daughter, Anna, is missing, together with her young friend, Joy, and as minutes turn to hours, panic sets in. The only lead is a dilapidated RV that had earlier been parked on their street.",89.121,/uhviyknTT5cEQXbn6vWIqfM4vGm.jpg,2013-09-19,Prisoners,False,8.097,11467,
False,/ryoWP1kvNcwPif6uNbuZwQfrJPy.jpg,"['Comedy', 'Crime']",24382,it,I soliti ignoti,"Best friends Peppe and Mario are thieves, but they're not very good at it. Still, Peppe thinks that he's finally devised a master heist that will make them rich. With the help of some fellow criminals, he plans to dig a tunnel from a rented apartment to the pawnshop next door, where they can rob the safe. But his plan is far from foolproof, and the fact that no one in the group has any experience digging tunnels proves to be the least of their problems.",14.536,/f5OxD8Nl0pR3DcYHtYhHRfpsmjl.jpg,1958-07-26,Big Deal on Madonna Street,False,8.097,678,
False,/175gL8LrNt9QfKwLzWn179AYvo.jpg,['Drama'],20532,ja,山椒大夫,"In medieval Japan, a woman and his children journey to find the family's patriarch, who was exiled years before.",22.975,/ffMCNNYiTCdkhMQoNSX17urqWiz.jpg,1954-03-31,Sansho the Bailiff,False,8.097,356,
False,/9xjUZjuYyehv2qnqMH0oR9nSTft.jpg,"['Crime', 'Action', 'Drama', 'Thriller']",9702,en,Bound by Honor,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on half-brothers Paco and Cruz, and their bi-racial cousin Miklo. It opens in 1972, as the three are members of an East L.A. gang known as the ""Vatos Locos"", and the story focuses on how a violent crime and the influence of narcotics alter their lives. Miklo is incarcerated and sent to San Quentin, where he makes a ""home"" for himself. Cruz becomes an exceptional artist, but a heroin addiction overcomes him with tragic results. Paco becomes a cop and an enemy to his ""carnal"", Miklo.",58.938,/gvP6R6juhe2IpCG7QGDgjyUvm0g.jpg,1993-02-05,Bound by Honor,False,8.097,1262,
False,/inaX9PA89bJg0jE8TtEpdOX5R8D.jpg,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Thriller', 'Mystery']",397567,ko,신과함께-죄와 벌,"Having died unexpectedly, firefighter Ja-hong is taken to the afterlife by 3 afterlife guardians. Only when he passes 7 trials over 49 days and proves he was innocent in human life, he’s able to reincarnate, and his 3 afterlife guardians are by his side to defend him in trial.",54.558,/gJSvIsI6oQfFim0PGyuuiCYfqKs.jpg,2017-12-20,Along with the Gods: The Two Worlds,False,8.096,1007,
False,/zPbu0CFnAT2kYfbGWjgZBTajmzi.jpg,"['Comedy', 'Drama']",439,it,La dolce vita,"Episodic journey of journalist Marcello who struggles to find his place in the world, torn between the allure of Rome's elite social scene and the stifling domesticity offered by his girlfriend, all the while searching for a way to become a serious writer.",47.874,/2KU52apQyvyZuPsqEGMcWb4BKu2.jpg,1960-02-05,La Dolce Vita,False,8.096,1791,
False,/viGCwLxupyoaLsa6hrnu1gYrB0B.jpg,['Drama'],406,fr,La Haine,"After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police.",55.286,/8rgPyWjYZhsphSSxbXguMnhN7H0.jpg,1995-05-31,La Haine,False,8.096,3931,
False,/wooZWiC4NWH0ahCSUOogEmVejHo.jpg,"['Family', 'Fantasy']",640344,it,Me contro Te: Il film - La vendetta del Signor S,"A young couple who makes popular YouTube videos for children sets out to win an award, but an evil mastermind stands in the way of their success.",11.641,/sfeQTIRkJjWt8IPDSBcPqkrcaas.jpg,2020-01-17,Me Against You: Mr. S's Vendetta,False,8.095,464,
